opTime,tradeValue
183.0,52.0100002289
183.5,54.5049999237
184.0,54.4200007629
184.5,53.4700007629
185.0,55.4600003815
185.5,53.9049999237
186.0,53.1349992371
186.5,52.5549992371
187.0,56.7549992371
187.5,56.6900006104
188.0,53.1650006104
188.5,52.2550006104
189.0,52.1949995422
189.5,56.7750003052
190.0,54.2900003052
190.5,55.4099998474
191.0,56.8699997711
191.5,51.7750006866
192.0,54.4749994659
192.5,55.7600001526
193.0,51.8600001526
193.5,51.8600001526
194.0,51.4000000763
194.5,51.4000000763
195.0,51.4000000763
195.5,51.4000000763
196.0,51.3699993896
196.5,53.5049993896
197.0,52.0749993896
197.5,51.1800007629
198.0,51.1800007629
198.5,51.1800007629
199.0,51.1800007629
199.5,51.1800007629
200.0,52.47
200.5,52.3949992371
201.0,52.6299999237
201.5,54.7299996185
202.0,51.0200005341
202.5,54.6399998474
203.0,54.5249995422
203.5,52.7699995422
204.0,54.3500003815
204.5,52.1799993134
205.0,52.1199993134
205.5,54.4349999237
206.0,54.1700003052
206.5,55.7250002289
207.0,54.9600002289
207.5,51.6950002289
208.0,54.7149993896
208.5,53.6750003052
209.0,51.7899992371
209.5,54.9849993134
210.0,53.1799993134
210.5,51.9500002289
211.0,53.2700006104
211.5,53.2700006104
212.0,53.2700006104
212.5,56.7549997711
213.0,54.7649992371
213.5,54.7450006866
214.0,54.7450006866
214.5,54.6300009155
215.0,54.4099996948
215.5,54.4099996948
216.0,54.3950003052
216.5,52.9550008392
217.0,52.8149993896
217.5,52.5449993896
218.0,52.5099995422
218.5,52.5099995422
219.0,52.5099995422
219.5,55.6800004578
220.0,53.2200005341
220.5,51.3350004578
221.0,51.3350004578
221.5,51.3350004578
222.0,50.0650008392
222.5,49.7099996948
223.0,45.5449996948
223.5,47.2250000763
224.0,50.9900006866
224.5,46.3750009155
225.0,46.7400005341
225.5,48.7599997711
226.0,45.9250003815
226.5,46.5599996948
227.0,47.1349993134
227.5,47.1949999237
228.0,47.1949999237
228.5,47.0949999237
229.0,45.7049999237
229.5,50.1550005341
230.0,50.9549992371
230.5,48.2499996948
231.0,45.7299998474
231.5,49.2099998474
232.0,49.2099998474
232.5,49.2099998474
233.0,49.2099998474
233.5,48.6400001526
234.0,46.5000007629
234.5,46.5000007629
235.0,45.7800007629
235.5,45.8649992371
236.0,48.5749996185
236.5,48.2549996185
237.0,50.8499995422
237.5,48.8249995422
238.0,47.1750007629
238.5,49.2900003052
239.0,45.0049990845
239.5,46.6849998474
240.0,45.6999998474
240.5,49.6949997711
241.0,46.7099997711
241.5,47.6949999237
242.0,47.6949999237
242.5,47.6949999237
243.0,48.2550006866
243.5,48.1850006866
244.0,48.0450006866
244.5,47.0700006866
245.0,46.8650006866
245.5,46.2349993134
246.0,47.9049995422
246.5,47.9049995422
247.0,45.8599995422
247.5,45.0249995422
248.0,50.2799994659
248.5,50.2799994659
249.0,47.8699994659
249.5,50.2850002289
250.0,49.6300003815
250.5,50.6099993896
251.0,49.8899993896
251.5,48.8699993896
252.0,45.6999990845
252.5,49.6749992371
253.0,49.6749992371
253.5,47.7199992371
254.0,45.3999992371
254.5,48.9149999237
255.0,46.9699996948
255.5,45.9099996948
256.0,48.9850003815
256.5,45.1999994659
257.0,47.7600000763
257.5,48.9899999237
258.0,45.2899999237
258.5,50.0150005341
259.0,50.0150005341
259.5,47.0499993896
260.0,46.1949993896
260.5,47.0650005341
261.0,46.9400000763
261.5,47.2050007629
262.0,45.5450007629
262.5,45.5450007629
263.0,45.5450007629
263.5,48.1999995422
264.0,45.9649995422
264.5,47.7150003815
265.0,50.3449993134
265.5,48.8949998474
266.0,46.6299998474
266.5,46.2999998474
267.0,49.45
267.5,46.8450008392
268.0,46.8450008392
268.5,46.8400008392
269.0,46.2050005341
269.5,46.2050005341
270.0,46.2050005341
270.5,46.4699998474
271.0,50.1499991608
271.5,49.8049991608
272.0,47.7500003815
272.5,46.5750003815
273.0,46.1150003815
273.5,46.1150003815
274.0,46.1150003815
274.5,45.1050001526
275.0,48.72
275.5,48.405
276.0,48.265
276.5,45.1400000763
277.0,45.9299998474
277.5,50.5650001526
278.0,50.5849991608
278.5,48.8400002289
279.0,47.9900002289
279.5,46.7500002289
280.0,50.3350006104
280.5,48.7900006104
281.0,50.3350006104
281.5,48.7000004578
282.0,48.5300003815
282.5,47.1450003815
283.0,47.2249997711
283.5,45.2699998474
284.0,46.8500003052
284.5,46.8599992371
285.0,46.8599992371
285.5,46.8599992371
286.0,46.8599992371
286.5,48.2799996185
287.0,46.0699995422
287.5,48.7750002289
288.0,50.8449995422
288.5,50.8449995422
289.0,50.8449995422
289.5,50.8449995422
290.0,50.6099995422
290.5,48.5499998474
291.0,45.5949998474
291.5,45.5949998474
292.0,45.435
292.5,47.29
293.0,48.7500004578
293.5,45.3650004578
294.0,43.8800008392
294.5,44.2099996948
295.0,40.7949996948
295.5,44.2050004578
296.0,42.5250001526
296.5,42.5449990845
297.0,41.5849990845
297.5,40.0650003815
298.0,44.7250006104
298.5,41.5800006866
299.0,42.3650009155
299.5,42.3650009155
300.0,41.2700004578
300.5,41.1499996185
301.0,41.1499996185
301.5,41.1499996185
302.0,42.5
302.5,40.315
303.0,40.9599993134
303.5,43.4699993134
304.0,43.4699993134
304.5,40.2800006104
305.0,40.1849994659
305.5,40.1849994659
306.0,43.8899999237
306.5,43.8699994659
307.0,43.4349994659
307.5,42.8199996948
308.0,42.3550006104
308.5,42.5849990845
309.0,41.6149997711
309.5,40.8349997711
310.0,44.7850007629
310.5,44.5499992371
311.0,44.5499992371
311.5,44.5499992371
312.0,44.1299992371
312.5,42.8949992371
313.0,42.8949992371
313.5,44.9499991608
314.0,44.9499991608
314.5,44.1300006104
315.0,44.0050006104
315.5,44.0050006104
316.0,44.0050006104
316.5,44.0050006104
317.0,44.0050006104
317.5,43.9450006104
318.0,43.9450006104
318.5,43.9399995422
319.0,43.6049995422
319.5,44.5199990845
320.0,44.5199990845
320.5,40.2049990845
321.0,44.9999999237
321.5,40.6000000763
322.0,44.5699998474
322.5,43.7399998474
323.0,43.6149998474
323.5,42.1499991608
324.0,42.1499991608
324.5,44.8850001526
325.0,44.8850001526
325.5,40.1899992371
326.0,44.8399999237
326.5,44.8399999237
327.0,44.7600006866
327.5,44.74
328.0,43.19
328.5,44.7499993134
329.0,40.6399993134
329.5,40.1199993134
330.0,42.4949995422
330.5,44.5899999237
331.0,44.5899999237
331.5,41.0099998474
332.0,41.0099998474
332.5,42.0899994659
333.0,40.5700003052
333.5,43.9500005341
334.0,43.9500005341
334.5,43.9500005341
335.0,41.6400005341
335.5,41.6400005341
336.0,41.5700008392
336.5,41.0450000763
337.0,41.0450000763
337.5,40.9950008392
338.0,42.3699992371
338.5,44.1000003815
339.0,42.3650003815
339.5,43.6949994659
340.0,41.8849994659
340.5,43.1299993896
341.0,42.8449993896
341.5,43.625
342.0,43.1599998474
342.5,43.0149998474
343.0,42.7949998474
343.5,42.0299998474
344.0,42.0299998474
344.5,42.0299998474
345.0,40.2099990845
345.5,42.7800005341
346.0,41.7699996185
346.5,40.7599996185
347.0,43.5800004578
347.5,40.5099993896
348.0,40.5099993896
348.5,40.9950003815
349.0,42.6150001526
349.5,41.3450001526
350.0,41.0800001526
350.5,41.0800001526
351.0,40.9100001526
351.5,44.6399997711
352.0,44.6399997711
352.5,42.2449997711
353.0,40.9200001526
353.5,40.9200001526
354.0,40.6600000763
354.5,40.8349991608
355.0,40.3099991608
355.5,44.4200008392
356.0,44.2600003815
356.5,43.9950003815
357.0,43.9950003815
357.5,44.6700001526
358.0,43.7650000763
358.5,41.6449996185
359.0,41.3949996185
359.5,43.0699998474
360.0,43.0699998474
360.5,41.1600006104
361.0,43.6899996185
361.5,42.7749997711
362.0,41.6200006866
362.5,41.4000006866
363.0,42.6249995422
363.5,41.6750000763
364.0,42.4449998474
364.5,42.4449998474
365.0,41.5749998474
365.5,41.1949996185
366.0,44.3800006104
366.5,44.3800006104
367.0,44.2400007629
367.5,44.27
368.0,44.0700006866
368.5,40.0149993134
369.0,44.1049990845
369.5,44.1049990845
370.0,44.0300002289
370.5,43.9950003815
371.0,43.0350003815
371.5,41.4700005341
372.0,41.4700005341
372.5,43.0850005341
373.0,40.2300002289
373.5,40.2300002289
374.0,43.9949993896
374.5,44.11
375.0,43.73
375.5,40.4550009155
376.0,43.4599995422
376.5,40.2699995422
377.0,40.2699995422
377.5,40.2499990845
378.0,42.1650002289
378.5,42.155
379.0,42.0999996948
379.5,42.0999996948
380.0,42.0999996948
380.5,42.0649998474
381.0,41.5699993896
381.5,41.3899993896
382.0,41.2999999237
382.5,42.8350000763
383.0,42.8350000763
383.5,42.8350000763
384.0,41.5850000763
384.5,41.5850000763
385.0,41.5850000763
385.5,41.5850000763
386.0,41.5800009155
386.5,40.0800009155
387.0,40.0800009155
387.5,41.5700006866
388.0,41.5700006866
