Price,Time
54.18,1199939400
54.73,1199941200
54.73,1199943000
57.47,1199944800
58.03,1199946600
59.98,1199948400
104.8,1199950200
82.9,1199952000
73.85,1199953800
81.14,1199955600
81.95,1199957400
81.95,1199959200
81.95,1199961000
81.95,1199962800
81.95,1199964600
81.95,1199966400
81.95,1199968200
81.14,1199970000
64.15,1199971800
73.85,1199973600
73.85,1199975400
73.85,1199977200
73.85,1199979000
73.54,1199980800
89.55,1199982600
169.43,1199984400
432.52,1199986200
110.47,1199988000
95.1,1199989800
110.46,1199991600
104.8,1199993400
104.8,1199995200
82.9,1199997000
82.9,1199998800
82.9,1200000600
67.16,1200002400
62.26,1200004200
73.85,1200006000
64.47,1200007800
58.03,1200009600
58.03,1200011400
57.93,1200013200
57.47,1200015000
57.47,1200016800
55.51,1200018600
55.51,1200020400
55.51,1200022200
55.51,1200024000
54.96,1200025800
55.51,1200027600
55.51,1200029400
60.02,1200031200
62.43,1200033000
62.75,1200034800
62.75,1200036600
105.65,1200038400
105.65,1200040200
105.65,1200042000
105.65,1200043800
105.65,1200045600
105.65,1200047400
105.65,1200049200
105.65,1200051000
105.65,1200052800
105.65,1200054600
105.65,1200056400
105.65,1200058200
105.65,1200060000
81.61,1200061800
80.81,1200063600
75.46,1200065400
73.96,1200067200
105.65,1200069000
132.97,1200070800
218.94,1200072600
155.45,1200074400
155.45,1200076200
155.45,1200078000
149.59,1200079800
105.66,1200081600
88.83,1200083400
73.59,1200085200
75.59,1200087000
105.65,1200088800
62.64,1200090600
89.49,1200092400
66.78,1200094200
62.64,1200096000
60.02,1200097800
55.85,1200099600
55.85,1200101400
55.57,1200103200
55.57,1200105000
55.3,1200106800
55.3,1200108600
55.3,1200110400
55.3,1200112200
55.3,1200114000
55.3,1200115800
54.78,1200117600
54.78,1200119400
54.78,1200121200
55.9,1200123000
59.19,1200124800
59.3,1200126600
61.89,1200128400
80.08,1200130200
80.08,1200132000
63.21,1200133800
78.26,1200135600
78.26,1200137400
78.26,1200139200
78.26,1200141000
78.26,1200142800
61.89,1200144600
61.67,1200146400
60.82,1200148200
60.82,1200150000
60.82,1200151800
87.83,1200153600
152.36,1200155400
196.28,1200157200
243.82,1200159000
174.18,1200160800
152.36,1200162600
152.36,1200164400
89.14,1200166200
61.89,1200168000
61.89,1200169800
61.89,1200171600
78.26,1200173400
59.3,1200175200
59.29,1200177000
59.3,1200178800
59.3,1200180600
59.3,1200182400
59.19,1200184200
55.34,1200186000
54.78,1200187800
54.78,1200189600
54.78,1200191400
54.78,1200193200
54.78,1200195000
54.78,1200196800
54.78,1200198600
54.78,1200200400
54.78,1200202200
54.11,1200204000
54.11,1200205800
54.11,1200207600
54.11,1200209400
54.11,1200211200
53.93,1200213000
58.05,1200214800
59.31,1200216600
66.49,1200218400
71.65,1200220200
70.87,1200222000
71.16,1200223800
88.46,1200225600
79.81,1200227400
77.09,1200229200
73.9,1200231000
72.89,1200232800
72.78,1200234600
72.78,1200236400
72.78,1200238200
72.89,1200240000
73.9,1200241800
100.97,1200243600
105.27,1200245400
100.97,1200247200
100.97,1200249000
100.97,1200250800
83.72,1200252600
77.98,1200254400
88.46,1200256200
71.28,1200258000
72.34,1200259800
66.95,1200261600
66.84,1200263400
66.94,1200265200
62.29,1200267000
61.75,1200268800
61.75,1200270600
61.75,1200272400
61.58,1200274200
60.57,1200276000
60.57,1200277800
60.57,1200279600
60.57,1200281400
60.57,1200283200
60.57,1200285000
60.57,1200286800
60.57,1200288600
53.43,1200290400
54.32,1200292200
60.13,1200294000
60.32,1200295800
62.75,1200297600
62.75,1200299400
82.1,1200301200
81.4,1200303000
81.4,1200304800
81.4,1200306600
81.4,1200308400
81.4,1200310200
103.95,1200312000
103.95,1200313800
81.4,1200315600
62.75,1200317400
62.75,1200319200
62.75,1200321000
82.1,1200322800
82.1,1200324600
82.24,1200326400
128.19,1200328200
223.44,1200330000
222.69,1200331800
145.79,1200333600
108.56,1200335400
82.66,1200337200
82.61,1200339000
82.71,1200340800
82.55,1200342600
81.54,1200344400
81.64,1200346200
78.67,1200348000
62.77,1200349800
62.83,1200351600
60.21,1200353400
59.6,1200355200
57.55,1200357000
57.55,1200358800
55.13,1200360600
55.13,1200362400
54.72,1200364200
54.72,1200366000
54.72,1200367800
54.72,1200369600
54.72,1200371400
54.72,1200373200
54.72,1200375000
54.64,1200376800
57.81,1200378600
60.61,1200380400
62.99,1200382200
100.41,1200384000
82.1,1200385800
100.41,1200387600
100.41,1200389400
100.41,1200391200
100.41,1200393000
100.41,1200394800
100.41,1200396600
100.41,1200398400
100.41,1200400200
82.1,1200402000
81.3,1200403800
82.1,1200405600
82.1,1200407400
82.1,1200409200
100.41,1200411000
100.41,1200412800
100.41,1200414600
326.66,1200416400
240.07,1200418200
107.78,1200420000
100.41,1200421800
326.66,1200423600
107.78,1200425400
100.41,1200427200
100.41,1200429000
100.41,1200430800
62.99,1200432600
70.29,1200434400
60.61,1200436200
60.61,1200438000
62.99,1200439800
62.99,1200441600
58.18,1200443400
57.81,1200445200
54.64,1200447000
54.64,1200448800
54.64,1200450600
54.1,1200452400
54.1,1200454200
54.1,1200456000
54.1,1200457800
54.1,1200459600
54.1,1200461400
51.85,1200463200
51.91,1200465000
57.28,1200466800
60.86,1200468600
89.86,1200470400
78.9,1200472200
78.9,1200474000
79.69,1200475800
79.69,1200477600
79.69,1200479400
79.69,1200481200
79.69,1200483000
79.69,1200484800
79.69,1200486600
79.69,1200488400
79.69,1200490200
79.69,1200492000
79.69,1200493800
79.69,1200495600
79.69,1200497400
79.7,1200499200
98.45,1200501000
104.43,1200502800
328.47,1200504600
103.52,1200506400
103.81,1200508200
101.21,1200510000
96.68,1200511800
79.7,1200513600
79.7,1200515400
79.69,1200517200
79.69,1200519000
63.24,1200520800
60.86,1200522600
60.86,1200524400
59.32,1200526200
